invoice_id,Customer_Name,industry,country,company_size,customer_type,contract_type,amount,days_to_due,days_late,past_due_ratio,profit_margin_trend,cash_flow_status,recent_loan_applications,credit_hold_history,industry_payment_benchmark,economic_health_index,late_payment
28,NextStep Consulting,Finance,US,Medium,New,Project-based,3957.76,15,2,0.03,Stable,Positive,2,FALSE,0.3,0.35,0
29,SmartFinance Advisors,Retail,IN,Large,New,Project-based,1377.24,60,37,0.13,Improving,Negative,1,TRUE,0.74,0.71,1
30,DataMatrix IT,Retail,IE,Large,Returning,Project-based,8333.62,30,19,0.55,Improving,Positive,5,TRUE,0.45,-0.45,0
31,PeakFinance,IT Services,FR,Medium,New,Recurring,4678.98,45,36,0.11,Declining,Positive,2,TRUE,0.7,0.34,1
32,CloudWorks Ltd,Finance,FR,Small,New,One-time,2871.97,30,45,0.54,Declining,Negative,1,FALSE,0.82,-0.19,1
33,SmartMove Rentals,IT Services,DE,Small,Returning,One-time,3677.17,30,62,0.71,Improving,Negative,2,TRUE,0.65,-0.36,1
34,FreshLeaf Organics,IT Services,UK,Small,New,One-time,4511.51,60,63,0.95,Declining,Negative,3,TRUE,0.37,0.35,1
35,AlphaWare Systems,Healthcare,IE,Small,New,One-time,9954.09,60,30,0.32,Stable,Negative,2,FALSE,0.71,0.95,0
36,UrbanGrid Builders,Manufacturing,IN,Medium,Returning,One-time,1493.81,60,62,0.02,Declining,Negative,5,FALSE,0.85,-0.61,1
37,SmartBuy Retailers,Finance,DE,Small,New,Recurring,1115.88,15,46,0.05,Improving,Negative,5,FALSE,0.44,-0.1,1
38,AlphaEdge Investments,Retail,IE,Medium,New,Recurring,5761.34,60,41,0.14,Improving,Negative,1,FALSE,0.56,0.66,1
39,NanoCom Systems,Education,IE,Small,Returning,Recurring,4466.98,30,55,0.45,Stable,Positive,4,TRUE,0.78,-0.9,1
40,AutoParts Depot,Healthcare,IE,Large,Returning,One-time,4051.15,15,32,0.21,Declining,Negative,0,FALSE,0.43,-0.27,1
41,AgriGrow Foods,Construction,PK,Small,Returning,Project-based,4464.53,60,28,0.82,Improving,Negative,2,FALSE,0.57,0.76,0
42,OmniCare Health,Retail,PK,Medium,Returning,Recurring,8542.37,15,39,0.91,Improving,Positive,4,FALSE,0.75,-0.9,1
43,Oceanic Shipping,Retail,IE,Medium,Returning,One-time,1542.97,15,47,0.92,Stable,Positive,5,FALSE,0.3,0.14,1
44,NextStep Consulting,Retail,IE,Large,Returning,Project-based,5820.89,60,79,0.9,Improving,Negative,5,TRUE,0.73,-0.39,1
45,SmartEdge Security,Retail,UK,Small,Returning,Recurring,8398.22,45,7,0.03,Improving,Negative,2,FALSE,0.46,-0.59,0
46,BrightEdge AI,Finance,US,Large,New,One-time,1673.63,30,33,0.85,Improving,Positive,1,FALSE,0.59,0.41,1
47,QuantumSoft,Finance,IN,Large,New,Project-based,1053.67,15,16,0.64,Improving,Positive,2,FALSE,0.76,-0.98,0
48,SteelForge Manufacturing,Retail,DE,Large,New,One-time,5032.93,15,40,0.15,Stable,Negative,5,FALSE,0.9,0.42,1
49,SmartFinance Advisors,Healthcare,UK,Medium,Returning,Recurring,6170.45,45,33,0.01,Declining,Negative,4,FALSE,0.81,0.23,1
50,AutoWorld Services,Education,IN,Large,Returning,Recurring,9522.07,60,19,0.88,Improving,Positive,2,FALSE,0.9,-0.18,0
51,BlueSky Airlines,Education,FR,Medium,Returning,Recurring,8478.2,60,67,0.94,Improving,Negative,2,FALSE,0.43,0.12,1
52,Insight Analytics,Construction,US,Medium,Returning,One-time,1474.49,30,58,0.49,Declining,Negative,3,TRUE,0.74,0.62,1
53,EcoPlus Packaging,Education,US,Small,Returning,Project-based,9725.08,60,59,0.87,Declining,Negative,5,FALSE,0.47,-0.87,1
54,FreshMart Foods,Healthcare,FR,Large,Returning,Recurring,970.14,15,51,0.8,Improving,Positive,4,TRUE,0.59,0.78,1
55,PureBuild Construction,IT Services,IN,Small,New,Recurring,3905.58,30,49,0.22,Improving,Negative,2,FALSE,0.74,0.21,1
56,BuildWell Inc,Education,UK,Medium,New,Project-based,8135.34,15,14,0.65,Declining,Negative,3,FALSE,0.35,-1,0
57,TradeLink Exports,Education,PK,Small,Returning,Recurring,9342.06,60,58,0.43,Improving,Negative,3,TRUE,0.32,-0.99,2
58,NextGen IT,Retail,IE,Large,New,Project-based,5041.49,30,42,0.87,Declining,Positive,5,TRUE,0.69,0.03,1
59,EcoPlus Packaging,IT Services,PK,Large,New,One-time,323.41,60,42,0.52,Declining,Positive,0,FALSE,0.63,-0.5,1
60,Insight Analytics,Finance,US,Large,New,Project-based,1707.91,15,27,0.34,Stable,Positive,5,FALSE,0.61,-0.23,0
61,MediCore Systems,Manufacturing,UK,Small,New,Project-based,1913.87,30,8,0.11,Stable,Negative,2,FALSE,0.57,0.22,0
62,Insight Analytics,Construction,UK,Large,New,Project-based,4773,60,23,0.55,Stable,Negative,2,TRUE,0.66,0.96,0
63,MegaMart Group,Healthcare,PK,Medium,Returning,Project-based,9312.13,60,68,0.78,Declining,Negative,3,FALSE,0.9,0.74,1
64,DataBridge Analytics,Finance,IN,Medium,New,Recurring,9366.98,60,7,0.58,Stable,Positive,5,FALSE,0.75,-0.66,0
65,PayPro Financials,Construction,US,Large,New,Recurring,3744.96,45,6,0.19,Declining,Positive,3,FALSE,0.53,-0.71,0
66,Omega Manufacturing,Construction,FR,Large,Returning,Project-based,6532.57,45,37,0.41,Declining,Positive,5,TRUE,0.44,-0.96,1
67,QuickPay Fintech,IT Services,FR,Medium,New,Recurring,8612.29,45,39,0.34,Declining,Negative,0,FALSE,0.65,-0.31,1
68,ClearTech Digital,Finance,PK,Small,Returning,Project-based,9290.89,30,43,0.92,Declining,Negative,5,FALSE,0.3,-0.85,1
69,BrightWave Finance,Construction,US,Large,Returning,Recurring,3819.62,60,63,0.71,Improving,Negative,1,TRUE,0.43,0.94,1
70,SkyLogistics,IT Services,UK,Small,New,One-time,9481.71,15,0,0.02,Stable,Positive,5,FALSE,0.73,0.01,0
71,EduSmart Solutions,Construction,PK,Medium,New,Recurring,7303.75,60,21,0.31,Stable,Positive,0,FALSE,0.8,-0.52,0
72,AlphaEdge Investments,Manufacturing,FR,Medium,Returning,Recurring,8923.98,15,44,0.36,Stable,Negative,4,TRUE,0.56,0.56,1
73,Omega Manufacturing,Construction,PK,Large,New,One-time,5374.97,45,62,0.31,Declining,Negative,2,TRUE,0.83,-0.66,1
74,AutoWorld Services,Construction,FR,Medium,New,Recurring,5515.98,60,24,0.76,Stable,Positive,3,TRUE,0.59,0.38,0
75,NextLevel Consulting,Retail,DE,Large,New,Project-based,3320.22,15,23,0.93,Stable,Positive,5,FALSE,0.38,-0.19,0
76,EcoEnergy Solutions,Healthcare,FR,Small,Returning,Project-based,2454.76,30,46,0.42,Stable,Positive,3,FALSE,0.47,-0.33,1
77,ShopWise Market,Education,US,Large,Returning,One-time,76.55,45,43,0.83,Improving,Negative,2,FALSE,0.75,0.64,1
78,AlphaEdge Investments,Retail,DE,Large,Returning,One-time,5928.93,60,35,0.05,Improving,Negative,2,FALSE,0.64,0.85,1
79,PrimeEdge Investments,Finance,PK,Medium,New,One-time,5897.92,45,55,0.65,Declining,Positive,2,TRUE,0.63,0.26,1
80,GreenWay Manufacturing,IT Services,IE,Large,New,One-time,6751.32,45,42,0.5,Stable,Positive,5,TRUE,0.67,0.33,1
81,VentureX Holdings,Healthcare,PK,Large,New,Project-based,9460.9,60,19,0.41,Stable,Negative,2,FALSE,0.62,0.28,0
82,Cloudify Solutions,Manufacturing,FR,Large,Returning,Recurring,5760.22,30,43,0.74,Stable,Negative,3,FALSE,0.68,0.24,1
83,BlueStone Retail,Healthcare,US,Medium,Returning,Recurring,8198.8,45,65,0.72,Stable,Negative,0,FALSE,0.49,-0.66,1
84,CloudWorks Ltd,Healthcare,UK,Medium,Returning,Project-based,6607.51,60,51,0.12,Declining,Negative,5,TRUE,0.61,0.58,1
85,NovaCom IT,Healthcare,IE,Medium,Returning,One-time,8189.75,15,30,0.08,Improving,Negative,4,FALSE,0.42,-0.76,0
86,NovaFoods,Healthcare,UK,Small,New,One-time,9405.71,45,22,0.65,Declining,Positive,5,FALSE,0.35,-0.77,0
87,EcoVision Solar,Healthcare,IN,Medium,New,Project-based,149.38,15,46,0.68,Improving,Positive,0,TRUE,0.57,-0.84,1
88,TechNova Ltd,Retail,IE,Large,Returning,One-time,6504.14,60,31,0.18,Improving,Negative,0,FALSE,0.59,-0.98,1
89,TransWorld Freight,Manufacturing,PK,Large,New,Project-based,5230.69,45,29,0.69,Stable,Positive,1,FALSE,0.7,0.08,0
90,BlueSky Airlines,IT Services,PK,Small,New,Recurring,5676.31,45,28,0.32,Stable,Positive,1,TRUE,0.52,0.65,0
91,AlphaWare Systems,IT Services,DE,Medium,Returning,Project-based,2964.5,15,64,0.95,Stable,Negative,5,FALSE,0.44,0.62,1
92,PeakFinance,Healthcare,IN,Large,New,One-time,2765.14,45,16,0.03,Improving,Positive,3,FALSE,0.72,0.98,0
93,Globo Retail,Construction,IN,Small,Returning,One-time,6080.03,15,60,0.67,Declining,Negative,4,FALSE,0.81,-0.3,1
94,AlphaEdge Investments,Construction,PK,Large,Returning,One-time,8857.68,15,51,0.59,Stable,Negative,3,TRUE,0.53,-0.31,6
95,BrightWave Finance,Education,PK,Small,New,Project-based,8202.86,15,46,0.69,Stable,Positive,1,FALSE,0.74,-0.29,1
96,SkyVision Telecom,Healthcare,FR,Large,Returning,One-time,2883.47,30,51,0.42,Declining,Negative,4,FALSE,0.5,0.32,1
97,CityHealth Hospitals,Manufacturing,FR,Small,New,One-time,6010.07,30,39,0.41,Improving,Negative,1,FALSE,0.41,0.93,1
98,CityHealth Hospitals,Education,FR,Large,New,Recurring,4564.18,45,67,0.97,Improving,Negative,5,TRUE,0.55,-0.17,1
99,AlphaWare Systems,Retail,IN,Small,Returning,One-time,4525.08,60,52,0.71,Declining,Positive,3,TRUE,0.45,0.3,1
100,FlowNet Systems,Finance,PK,Large,New,Recurring,9132.6,45,52,0.59,Improving,Negative,3,TRUE,0.76,0.89,1
101,EcoPlus Packaging,Healthcare,PK,Small,New,One-time,2667.23,45,56,0.04,Declining,Negative,3,TRUE,0.79,-0.58,1
102,EcoEnergy Solutions,Healthcare,PK,Large,Returning,Recurring,8260.96,30,30,0.08,Stable,Negative,1,FALSE,0.69,0.04,0
103,Insight Analytics,Finance,IN,Medium,Returning,Project-based,6052.44,60,36,0.14,Improving,Negative,2,FALSE,0.4,0.45,1
104,AutoWorld Services,Education,IN,Medium,New,Project-based,804.5,60,41,0.37,Declining,Negative,5,TRUE,0.49,0.95,1
105,EcoEnergy Solutions,Healthcare,UK,Large,New,Project-based,4604.9,30,36,0.97,Stable,Positive,4,FALSE,0.34,0.85,1
106,MegaLogistics,Retail,IN,Small,Returning,Recurring,3134.89,45,37,0.82,Declining,Negative,5,FALSE,0.62,0.17,7
107,Omega Manufacturing,Finance,FR,Medium,Returning,Recurring,4288.58,60,52,0.36,Declining,Negative,0,FALSE,0.46,-0.16,1
108,TechConnect,Finance,PK,Medium,New,Project-based,2698.25,30,52,0.53,Improving,Negative,3,TRUE,0.43,0.88,1
109,PeakFinance,Retail,PK,Large,New,One-time,951.33,60,39,0.06,Declining,Positive,3,FALSE,0.8,0.32,1
110,AeroLink Technologies,Construction,IE,Small,Returning,Recurring,6726.98,15,32,0.9,Declining,Positive,4,FALSE,0.87,0.88,5
111,AgriFlow,Manufacturing,PK,Medium,Returning,One-time,9175.99,60,9,0.7,Stable,Positive,0,FALSE,0.63,0.82,0
112,SteelForge Manufacturing,Manufacturing,PK,Large,Returning,One-time,5550.87,60,53,0.83,Declining,Positive,0,FALSE,0.44,0.86,1
113,UrbanStyle Retail,Retail,IN,Large,New,Project-based,6833.55,60,23,0.73,Stable,Negative,5,FALSE,0.49,-0.42,0
114,UrbanGrid Builders,Construction,FR,Medium,New,One-time,8578.19,45,44,0.95,Improving,Negative,1,TRUE,0.4,-0.43,1
115,CreditEase Bank,Healthcare,US,Large,Returning,One-time,6176.62,15,37,0.14,Declining,Negative,2,TRUE,0.44,-0.55,1
116,InnoHealth Labs,Finance,UK,Large,Returning,One-time,5433.35,60,58,0.12,Improving,Negative,2,TRUE,0.54,0.19,1
117,QuickServe Delivery,Manufacturing,US,Small,New,Project-based,2160.68,15,8,0.15,Declining,Positive,0,FALSE,0.4,-0.62,0
118,PeakWorks Engineering,Finance,US,Small,New,Project-based,7096.39,60,24,0.3,Declining,Positive,3,FALSE,0.45,-0.12,0
119,SolarTech Energy,Finance,US,Large,New,Project-based,9960.56,45,36,0.97,Declining,Positive,3,FALSE,0.76,0.65,1
120,IronGate Construction,Manufacturing,DE,Small,Returning,Recurring,8294.54,30,22,0.02,Declining,Positive,5,TRUE,0.54,-0.14,0
121,PixelWorks Media,Finance,DE,Large,New,One-time,9746.07,45,58,0.78,Improving,Negative,3,FALSE,0.4,-0.83,9
122,EduPrime,Healthcare,DE,Large,New,Recurring,7104.91,30,64,0.76,Stable,Negative,3,FALSE,0.38,-0.06,1
123,Meditech Labs,Construction,FR,Large,Returning,One-time,7887.1,30,62,0.75,Declining,Negative,1,TRUE,0.71,0.31,1
124,GreenWorks Ltd,Finance,UK,Small,New,Project-based,4195.28,45,11,0.58,Stable,Positive,1,FALSE,0.36,-0.04,0
125,BioEdge Pharma,Finance,US,Medium,Returning,One-time,589.57,30,50,0.97,Declining,Negative,4,FALSE,0.31,0.74,1
126,MediAid Clinics,Construction,DE,Large,New,Project-based,2894.75,15,20,0.33,Stable,Positive,5,FALSE,0.88,0.95,0
127,TechNova Ltd,Construction,PK,Medium,New,Project-based,2344.05,60,41,0.64,Declining,Positive,4,TRUE,0.51,-0.24,1
128,BrightLine Transport,Finance,IN,Large,New,Recurring,834.08,45,51,0.62,Declining,Positive,5,TRUE,0.66,0.94,1
129,CityHealth Hospitals,Education,PK,Medium,Returning,Project-based,1201.25,45,41,0.69,Declining,Positive,1,FALSE,0.47,-0.11,1
130,Insight Analytics,IT Services,PK,Large,Returning,Project-based,5059.29,15,36,0.34,Stable,Positive,2,TRUE,0.58,-0.71,1
131,MediCore Systems,Healthcare,PK,Large,New,Recurring,4846.64,30,52,0.66,Declining,Negative,3,FALSE,0.59,0.23,1
132,SkyHigh Builders,Construction,FR,Medium,Returning,Project-based,4723.27,30,34,0.71,Stable,Negative,4,FALSE,0.39,0.95,1
133,Meditech Labs,IT Services,DE,Small,Returning,One-time,8575.78,45,44,0.29,Stable,Negative,3,TRUE,0.4,-0.26,1
134,DataCore Technologies,Healthcare,US,Small,New,Project-based,9590.16,30,51,0.39,Improving,Negative,0,FALSE,0.77,-0.67,8
135,AgriGrow Foods,Finance,IE,Small,New,Project-based,4647.13,15,43,0.55,Improving,Positive,0,TRUE,0.81,-0.46,1
136,PowerGrid Utilities,Construction,PK,Medium,Returning,Project-based,5005.67,45,15,0.01,Improving,Positive,3,FALSE,0.42,0.48,0
137,CreditEase Bank,IT Services,US,Large,New,Recurring,4858.68,60,12,0.11,Stable,Positive,5,TRUE,0.6,-0.06,0
138,PrimeTech AI,Retail,UK,Small,Returning,One-time,5633.14,15,34,0.23,Declining,Positive,1,TRUE,0.76,0.01,1
139,SteelForge Manufacturing,Retail,IE,Large,New,One-time,9094.48,15,46,0.95,Declining,Negative,3,FALSE,0.88,-0.05,1
140,MediCore Systems,Healthcare,IN,Medium,Returning,Project-based,2304.29,30,37,0.54,Declining,Negative,1,FALSE,0.76,0.81,1
141,CityHealth Hospitals,Retail,IE,Small,Returning,Project-based,808.37,30,51,0.66,Stable,Positive,2,TRUE,0.68,0.07,1
142,EduPrime,Manufacturing,FR,Medium,Returning,One-time,1247.99,60,24,0.09,Stable,Positive,1,FALSE,0.58,0.37,0
143,CloudWorks Ltd,Education,IE,Large,Returning,Project-based,8535.82,30,63,0.89,Declining,Negative,4,FALSE,0.37,-0.17,1
144,AeroLink Technologies,Manufacturing,UK,Small,New,Recurring,1289.29,60,20,0.76,Improving,Negative,2,FALSE,0.49,-0.07,0
145,DataBridge Analytics,Retail,UK,Large,Returning,One-time,5800.66,45,20,0.09,Stable,Positive,1,TRUE,0.38,0.98,0
146,SkyVision Telecom,Education,UK,Medium,Returning,Project-based,7322.79,60,29,0.7,Stable,Positive,3,FALSE,0.61,0.64,0
147,QuickPay Fintech,Retail,PK,Large,New,Project-based,9371.15,15,30,0.99,Declining,Positive,5,FALSE,0.31,0.48,0
148,MediAid Clinics,Healthcare,FR,Small,Returning,Project-based,6233.12,15,14,0.32,Improving,Positive,0,FALSE,0.74,-0.08,0
149,TradeLink Exports,IT Services,FR,Small,New,Recurring,9860.75,60,34,0.35,Stable,Positive,0,FALSE,0.77,0.97,1
150,SmartBuy Retailers,Retail,IN,Medium,New,Recurring,9168.53,15,43,0.28,Stable,Negative,0,FALSE,0.72,-0.37,3
151,QuickServe Delivery,Retail,DE,Small,Returning,Recurring,6296.91,45,45,0.33,Declining,Negative,2,TRUE,0.77,-0.09,1
152,GlobalData Systems,Education,US,Large,New,Recurring,8572.02,60,40,0.8,Stable,Negative,1,TRUE,0.83,0.95,1
153,AgriGrow Foods,Manufacturing,IE,Large,New,Recurring,2382.76,60,26,0.04,Improving,Positive,3,TRUE,0.43,-0.78,0
154,MegaLogistics,Healthcare,IN,Large,New,One-time,792.56,15,78,0.79,Declining,Negative,2,TRUE,0.46,0.59,1
155,QuantumSoft,Finance,PK,Large,New,One-time,4865.47,60,40,0.84,Stable,Positive,1,TRUE,0.46,0.21,1
156,InnoHealth Labs,IT Services,DE,Large,Returning,One-time,6361.57,60,43,0.19,Improving,Positive,0,TRUE,0.61,0.2,1
157,BuildMax Engineering,Education,IE,Medium,Returning,Recurring,2945.5,30,69,0.83,Declining,Negative,5,TRUE,0.85,-0.55,1
158,UrbanMove Transport,Finance,UK,Small,New,Recurring,6878.54,60,24,0.14,Stable,Negative,0,TRUE,0.64,-0.41,0
159,SolarTech Energy,IT Services,PK,Medium,New,Project-based,6619.98,60,30,0,Declining,Positive,3,TRUE,0.6,0.12,0
160,FinEdge Corp,IT Services,US,Large,Returning,Project-based,7031.24,45,38,0.94,Stable,Positive,3,FALSE,0.89,0.84,1
161,AeroSpace Industries,Education,FR,Large,Returning,Recurring,4559.3,15,27,0.13,Declining,Positive,3,TRUE,0.63,0.48,0
162,CreditEase Bank,Construction,PK,Medium,Returning,Project-based,9727.03,15,15,0.44,Stable,Positive,3,FALSE,0.55,-0.33,0
163,BluePeak Insurance,Retail,IE,Large,Returning,One-time,3228.65,30,55,0.78,Stable,Negative,2,FALSE,0.34,0.04,1
164,EasyLife Services,Education,FR,Large,Returning,Project-based,6998.57,45,24,0.26,Declining,Positive,0,FALSE,0.56,0.34,0
165,FlowNet Systems,Manufacturing,DE,Medium,New,Project-based,4605.15,45,41,0.28,Stable,Positive,1,TRUE,0.77,-0.22,1
166,MediCore Systems,Finance,DE,Large,New,One-time,3805,30,28,0.06,Declining,Negative,0,FALSE,0.47,-0.96,0
167,Insight Analytics,Retail,DE,Small,New,Project-based,2667.04,60,42,0.69,Improving,Negative,5,TRUE,0.76,-0.07,1
168,SmartBuy Retailers,Retail,UK,Small,New,One-time,683.15,45,42,0.99,Improving,Negative,4,FALSE,0.34,0.79,1
169,FreshMart Foods,IT Services,FR,Medium,Returning,Recurring,404.19,60,56,0.95,Improving,Negative,1,TRUE,0.77,0.22,1
170,QuickPay Fintech,Manufacturing,UK,Large,Returning,One-time,1912.11,15,45,0.42,Declining,Negative,1,FALSE,0.49,-0.43,1
171,StreamTech,Retail,UK,Small,Returning,Project-based,6507.37,60,51,0.82,Improving,Negative,3,TRUE,0.72,-0.27,2
172,SmartMove Rentals,IT Services,US,Large,New,One-time,1894.93,45,39,0.11,Declining,Positive,0,TRUE,0.61,-0.55,1
173,QuickNet Communications,Healthcare,IE,Small,New,Recurring,4512.46,45,19,0.05,Improving,Positive,2,FALSE,0.59,-0.76,0
174,BrightWave Finance,IT Services,UK,Medium,Returning,One-time,3549.38,30,16,0.3,Stable,Positive,3,FALSE,0.83,-0.05,0
175,SmartFinance Advisors,IT Services,US,Medium,New,Project-based,4221.26,60,24,0.64,Improving,Positive,3,TRUE,0.32,-0.93,0
176,DataCore Technologies,Healthcare,PK,Large,New,Recurring,9722.88,60,74,0.86,Declining,Negative,1,FALSE,0.75,0.85,1
177,DataSphere,Construction,DE,Medium,Returning,Recurring,8267.72,30,50,0.69,Stable,Negative,0,TRUE,0.82,-0.21,1
178,Zenith Logistics,IT Services,DE,Small,Returning,Recurring,8275.12,15,49,0.32,Stable,Negative,4,FALSE,0.82,0.24,1
179,GlobalData Systems,Healthcare,IN,Medium,Returning,Project-based,1276.15,15,15,0.22,Stable,Positive,1,TRUE,0.43,0.24,0
180,AutoDrive Technologies,Finance,DE,Medium,Returning,One-time,1279.29,60,36,0.07,Stable,Negative,4,TRUE,0.31,-0.31,1
181,TradeLink Exports,Construction,IE,Medium,Returning,Recurring,8832.82,30,33,0.92,Stable,Positive,3,TRUE,0.72,0.62,1
182,DataSphere,IT Services,PK,Large,New,Recurring,3853.31,15,41,0.47,Improving,Positive,0,FALSE,0.3,0.08,1
183,QuickPay Fintech,Manufacturing,FR,Small,Returning,Project-based,4937.3,15,28,0.94,Stable,Positive,4,FALSE,0.73,-0.54,0
184,DataCore Technologies,Education,IN,Large,New,One-time,7204.25,15,22,0.6,Improving,Positive,5,TRUE,0.55,0.1,0
185,Globo Retail,Finance,PK,Small,New,Recurring,4064.4,15,36,0.51,Stable,Positive,0,TRUE,0.53,0.45,1
186,AgriGrow Foods,Healthcare,IN,Medium,Returning,One-time,8184.01,45,34,0.63,Declining,Negative,4,FALSE,0.45,0.65,1
187,HealthPlus Pharma,IT Services,IN,Medium,New,One-time,2418.67,60,26,0.51,Declining,Negative,5,FALSE,0.59,-0.44,0
188,IronClad Metals,Finance,FR,Small,New,One-time,2401.66,45,38,0.15,Improving,Negative,4,FALSE,0.5,-0.81,1
189,PixelWorks Media,Retail,DE,Medium,Returning,Recurring,2860.5,60,48,0.51,Improving,Negative,0,FALSE,0.84,-0.3,1
190,EcoEnergy Solutions,Retail,US,Medium,New,Recurring,8423.28,45,31,0.25,Declining,Negative,5,FALSE,0.77,0.34,1
191,Zenith Logistics,Finance,DE,Medium,New,Recurring,1437.22,30,52,0.06,Improving,Negative,3,TRUE,0.85,0.57,1
192,BlueWave Analytics,Construction,FR,Medium,Returning,Project-based,8346.75,45,69,0.53,Improving,Negative,3,TRUE,0.48,-0.36,1
193,Meditech Labs,Education,FR,Medium,Returning,One-time,4802.83,45,19,0.63,Stable,Positive,2,TRUE,0.74,-0.1,0
194,MediAid Clinics,IT Services,DE,Large,Returning,One-time,3666.73,30,50,0.06,Declining,Negative,4,TRUE,0.85,0.95,1
195,FinEdge Corp,Finance,IN,Large,Returning,Project-based,4883.11,45,27,0.16,Stable,Negative,0,FALSE,0.6,0.9,0
196,SoftCore IT,Construction,FR,Medium,Returning,Project-based,3741.51,30,10,0.33,Declining,Positive,5,FALSE,0.44,0.42,0
197,TransWorld Freight,Finance,FR,Large,New,One-time,6540.57,60,16,0.81,Improving,Positive,4,FALSE,0.37,-0.11,0
198,FreshMart Foods,Healthcare,FR,Large,Returning,One-time,1016.55,60,4,0.03,Stable,Positive,0,TRUE,0.87,-0.51,0
199,NextLevel Consulting,Retail,PK,Large,New,Project-based,6981.78,45,11,0.16,Stable,Positive,3,TRUE,0.57,0.19,0
200,AutoParts Depot,Finance,PK,Small,New,Project-based,242.65,45,51,0.8,Declining,Negative,5,FALSE,0.84,-0.12,1
201,EuroTrade Exporters,IT Services,FR,Medium,Returning,Recurring,8083.16,15,30,0.42,Improving,Positive,4,TRUE,0.5,0.91,0
